"steering_displacements.angle_front"	"suspension_kinematics.toe_left_front"	"suspension_kinematics.toe_right_front"
-1.200000e+02	2.474690e+01	-2.760731e+01
-1.176000e+02	2.424233e+01	-2.695747e+01
-1.152000e+02	2.373871e+01	-2.631481e+01
-1.128000e+02	2.323603e+01	-2.567898e+01
-1.104000e+02	2.273424e+01	-2.504966e+01
-1.080000e+02	2.223330e+01	-2.442653e+01
-1.056000e+02	2.173318e+01	-2.380932e+01
-1.032000e+02	2.123384e+01	-2.319775e+01
-1.008000e+02	2.073524e+01	-2.259158e+01
-9.840000e+01	2.023735e+01	-2.199057e+01
-9.600000e+01	1.974014e+01	-2.139449e+01
-9.360000e+01	1.924357e+01	-2.080315e+01
-9.120000e+01	1.874759e+01	-2.021633e+01
-8.880000e+01	1.825219e+01	-1.963385e+01
-8.640000e+01	1.775731e+01	-1.905554e+01
-8.400000e+01	1.726294e+01	-1.848122e+01
-8.160000e+01	1.676902e+01	-1.791074e+01
-7.920000e+01	1.627554e+01	-1.734393e+01
-7.680000e+01	1.578245e+01	-1.678067e+01
-7.440000e+01	1.528971e+01	-1.622080e+01
-7.200000e+01	1.479731e+01	-1.566419e+01
-6.960000e+01	1.430519e+01	-1.511073e+01
-6.720000e+01	1.381332e+01	-1.456028e+01
-6.480000e+01	1.332168e+01	-1.401274e+01
-6.240000e+01	1.283022e+01	-1.346799e+01
-6.000000e+01	1.233892e+01	-1.292592e+01
-5.760000e+01	1.184772e+01	-1.238643e+01
-5.520000e+01	1.135661e+01	-1.184943e+01
-5.280000e+01	1.086555e+01	-1.131482e+01
-5.040000e+01	1.037449e+01	-1.078250e+01
-4.800000e+01	9.883407e+00	-1.025240e+01
-4.560000e+01	9.392261e+00	-9.724426e+00
-4.320000e+01	8.901017e+00	-9.198494e+00
-4.080000e+01	8.409638e+00	-8.674527e+00
-3.840000e+01	7.918087e+00	-8.152449e+00
-3.600000e+01	7.426326e+00	-7.632187e+00
-3.360000e+01	6.934318e+00	-7.113667e+00
-3.120000e+01	6.442025e+00	-6.596822e+00
-2.880000e+01	5.949408e+00	-6.081584e+00
-2.640000e+01	5.456430e+00	-5.567887e+00
-2.400000e+01	4.963049e+00	-5.055668e+00
-2.160000e+01	4.469226e+00	-4.544865e+00
-1.920000e+01	3.974921e+00	-4.035419e+00
-1.680000e+01	3.480092e+00	-3.527271e+00
-1.440000e+01	2.984699e+00	-3.020363e+00
-1.200000e+01	2.488697e+00	-2.514641e+00
-9.600000e+00	1.992045e+00	-2.010051e+00
-7.200000e+00	1.494697e+00	-1.506539e+00
-4.800000e+00	9.966109e-01	-1.004054e+00
-2.400000e+00	4.977394e-01	-5.025451e-01
-6.389669e-11	-1.963512e-03	-1.963512e-03
2.400000e+00	-5.025451e-01	4.977394e-01
4.800000e+00	-1.004054e+00	9.966109e-01
7.200000e+00	-1.506539e+00	1.494697e+00
9.600000e+00	-2.010051e+00	1.992045e+00
1.200000e+01	-2.514641e+00	2.488697e+00
1.440000e+01	-3.020363e+00	2.984699e+00
1.680000e+01	-3.527271e+00	3.480092e+00
1.920000e+01	-4.035419e+00	3.974921e+00
2.160000e+01	-4.544865e+00	4.469226e+00
2.400000e+01	-5.055668e+00	4.963049e+00
2.640000e+01	-5.567887e+00	5.456430e+00
2.880000e+01	-6.081584e+00	5.949408e+00
3.120000e+01	-6.596822e+00	6.442025e+00
3.360000e+01	-7.113667e+00	6.934318e+00
3.600000e+01	-7.632187e+00	7.426326e+00
3.840000e+01	-8.152449e+00	7.918087e+00
4.080000e+01	-8.674527e+00	8.409638e+00
4.320000e+01	-9.198494e+00	8.901017e+00
4.560000e+01	-9.724426e+00	9.392261e+00
4.800000e+01	-1.025240e+01	9.883407e+00
5.040000e+01	-1.078250e+01	1.037449e+01
5.280000e+01	-1.131482e+01	1.086555e+01
5.520000e+01	-1.184943e+01	1.135661e+01
5.760000e+01	-1.238643e+01	1.184772e+01
6.000000e+01	-1.292592e+01	1.233892e+01
6.240000e+01	-1.346799e+01	1.283022e+01
6.480000e+01	-1.401274e+01	1.332168e+01
6.720000e+01	-1.456028e+01	1.381332e+01
6.960000e+01	-1.511073e+01	1.430519e+01
7.200000e+01	-1.566419e+01	1.479731e+01
7.440000e+01	-1.622080e+01	1.528971e+01
7.680000e+01	-1.678067e+01	1.578245e+01
7.920000e+01	-1.734393e+01	1.627554e+01
8.160000e+01	-1.791074e+01	1.676902e+01
8.400000e+01	-1.848122e+01	1.726294e+01
8.640000e+01	-1.905554e+01	1.775731e+01
8.880000e+01	-1.963385e+01	1.825219e+01
9.120000e+01	-2.021633e+01	1.874759e+01
9.360000e+01	-2.080315e+01	1.924357e+01
9.600000e+01	-2.139449e+01	1.974014e+01
9.840000e+01	-2.199057e+01	2.023735e+01
1.008000e+02	-2.259158e+01	2.073524e+01
1.032000e+02	-2.319775e+01	2.123384e+01
1.056000e+02	-2.380932e+01	2.173318e+01
1.080000e+02	-2.442653e+01	2.223330e+01
1.104000e+02	-2.504966e+01	2.273424e+01
1.128000e+02	-2.567898e+01	2.323603e+01
1.152000e+02	-2.631481e+01	2.373871e+01
1.176000e+02	-2.695747e+01	2.424233e+01
1.200000e+02	-2.760731e+01	2.474690e+01


