tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
blue,20.073771,1.142677,0.0,0.014812,0.018536,0.000937
blue,16.263876,2.236959,0.0,0.014983,0.019171,0.001042
blue,13.476299,2.726152,0.0,0.029612,0.018825,0.003862
yellow,18.653317,-3.656336,0.0,0.083887,0.045073,-0.018066
yellow,15.007634,-2.444633,0.0,0.015696,0.022016,0.001373
yellow,12.199479,-1.745218,0.0,0.023020,0.023737,-0.006136
big_orange,9.403737,-1.021732,0.0,0.015098,0.020539,-0.000679
big_orange,10.627363,3.413470,0.0,0.017311,0.019030,0.002886
blue,23.653375,0.570317,0.0,0.014885,0.019010,0.000918
blue,7.652928,3.705069,0.0,0.015211,0.020829,-0.000829
yellow,22.364888,-4.280718,0.0,0.081943,0.047017,-0.019952
yellow,12.431496,-19.438092,0.0,0.084972,0.043989,0.016827
yellow,16.779111,-18.552525,0.0,0.083731,0.045229,0.018233
yellow,19.563163,-17.996643,0.0,0.082670,0.046291,0.019292
yellow,6.870083,-1.131289,0.0,0.015421,0.019220,-0.001613
blue,27.443855,0.567266,0.0,0.015278,0.020844,0.000991
blue,18.790854,-22.893479,0.0,0.074552,0.054408,0.024527
yellow,22.529869,-17.499586,0.0,0.080843,0.048117,0.020863
yellow,26.345559,-4.147376,0.0,0.075426,0.053534,-0.024150
blue,22.418950,-22.042869,0.0,0.070132,0.058828,0.025905
blue,30.170272,0.973797,0.0,0.017571,0.023398,0.003345
yellow,25.012165,-17.054930,0.0,0.078497,0.050462,0.022505
yellow,29.590991,-4.114973,0.0,0.015651,0.018919,-0.001853
blue,25.696871,-21.073185,0.0,0.065556,0.063401,0.026491
yellow,27.946956,-16.283804,0.0,0.075095,0.053863,0.024295
blue,33.289474,1.394073,0.0,0.034535,0.029200,0.010528
yellow,29.841433,-15.333324,0.0,0.067289,0.050602,0.022527
yellow,32.324109,-3.829764,0.0,0.025629,0.018648,-0.004150
blue,28.952090,-20.654544,0.0,0.057372,0.071587,0.025544
yellow,31.680569,-14.250406,0.0,0.038326,0.031067,0.011788
yellow,32.832024,-12.622162,0.0,0.026180,0.019541,0.004807
yellow,34.109012,-4.826601,0.0,0.040948,0.026786,-0.009593
blue,32.263763,-19.615146,0.0,0.047724,0.081235,0.020548
blue,35.735407,0.163890,0.0,0.015854,0.023272,0.001111
yellow,34.345504,-10.282656,0.0,0.019770,0.015038,-0.000935
yellow,35.096203,-7.348905,0.0,0.022479,0.016026,0.001788
blue,35.044973,-16.677221,0.0,0.024697,0.048107,0.006129
blue,36.509410,-14.920547,0.0,0.017170,0.029274,-0.000005
blue,37.679662,-1.576356,0.0,0.016370,0.019023,0.002383
blue,39.154712,-3.805438,0.0,0.016348,0.015750,-0.001660
blue,39.708885,-8.973282,0.0,0.019082,0.014929,-0.000974
blue,39.937211,-6.047709,0.0,0.019076,0.015035,0.001149
blue,40.996329,-8.744607,0.0,0.060834,0.042662,-0.012252
blue,14.846492,-23.606645,0.0,0.076140,0.052812,0.023807
yellow,8.809331,-20.503279,0.0,0.015016,0.018508,-0.001237
blue,10.575322,-24.532463,0.0,0.015571,0.020770,-0.001542
yellow,6.120122,-21.380508,0.0,0.017806,0.016667,-0.002372
yellow,4.557165,-5.219174,0.0,0.020899,0.015537,-0.001458
blue,6.861278,-25.727496,0.0,0.016387,0.022932,0.002190
yellow,5.298098,-2.618962,0.0,0.020798,0.015630,-0.001619
blue,0.288585,-4.063461,0.0,0.018751,0.014930,-0.001070
blue,3.034752,-25.799588,0.0,0.015033,0.020496,0.000451
yellow,3.482900,-8.106748,0.0,0.019976,0.015241,-0.001240
yellow,2.423755,-10.536233,0.0,0.020002,0.017082,0.002907
yellow,1.433700,-13.556439,0.0,0.018333,0.014806,-0.000981
yellow,1.950961,-19.801748,0.0,0.017282,0.017822,0.002623
yellow,3.767645,-21.374088,0.0,0.014984,0.019936,-0.000713
blue,-0.841435,-6.907553,0.0,0.019710,0.015256,-0.001330
yellow,0.795693,-16.699777,0.0,0.018949,0.014819,-0.000808
blue,-1.942951,-9.293361,0.0,0.019061,0.021762,-0.004180
blue,0.420719,-24.527093,0.0,0.016325,0.018938,0.002348
blue,-3.000402,-11.690717,0.0,0.022691,0.016256,-0.002066
blue,-3.349699,-14.088421,0.0,0.021645,0.015849,-0.001737
blue,-2.577154,-20.215267,0.0,0.017661,0.015658,0.001817
blue,-1.330356,-22.274426,0.0,0.016982,0.016577,0.002142
blue,-3.776367,-17.640900,0.0,0.021072,0.015121,0.000071
blue,1.082411,-0.914222,0.0,0.018841,0.015095,-0.001282
blue,3.038370,1.955602,0.0,0.016869,0.018140,-0.002529
blue,5.095490,3.606744,0.0,0.016278,0.021781,-0.002247
blue,31.366905,-17.299599,0.0,0.052020,0.063590,0.022780
unknown,17.032612,-20.582653,0.0,0.080105,0.048854,0.021420
