tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
blue,12.851898,3.242598,0.0,0.043761,0.085197,-0.016544
blue,8.906826,3.173844,0.0,0.040679,0.088280,-0.011683
blue,6.180768,2.871396,0.0,0.038179,0.090777,0.003357
yellow,13.036355,-1.787171,0.0,0.043180,0.085780,-0.015790
yellow,9.013241,-1.528076,0.0,0.039303,0.089657,-0.008314
big_orange,3.574220,-2.142927,0.0,0.040366,0.088524,0.010993
big_orange,3.254771,2.713438,0.0,0.044117,0.084819,0.016969
blue,16.511712,3.463070,0.0,0.017237,0.015045,-0.001358
blue,0.192415,2.022687,0.0,0.053426,0.075534,0.024100
yellow,16.527540,-1.565654,0.0,0.015996,0.015648,-0.001530
yellow,11.035669,-18.819607,0.0,0.049397,0.079559,-0.021805
yellow,14.870201,-16.976466,0.0,0.063870,0.065077,-0.026499
yellow,17.583548,-15.332272,0.0,0.049533,0.079423,-0.021898
yellow,0.887428,-2.613845,0.0,0.045147,0.083813,0.018145
blue,20.144144,4.485701,0.0,0.018443,0.015001,-0.001228
unknown,18.088262,-20.371811,0.0,0.050002,0.078955,-0.022211
yellow,-0.932574,-19.236936,0.0,0.041254,0.060807,-0.017863
yellow,20.133258,-0.332776,0.0,0.023206,0.018155,-0.003787
unknown,14.423063,-22.203285,0.0,0.052502,0.076458,-0.023655
blue,22.651141,5.616939,0.0,0.029198,0.017459,0.001721
yellow,-1.001608,-12.894117,0.0,0.015862,0.018301,-0.001999
yellow,-1.131845,-16.050572,0.0,0.021838,0.029324,-0.006388
unknown,7.863360,-20.827938,0.0,0.049804,0.079150,-0.022079
unknown,10.529770,-24.291735,0.0,0.049635,0.079324,-0.021969
blue,25.525655,6.820049,0.0,0.062665,0.030600,0.008862
yellow,-0.583046,-10.231683,0.0,0.014127,0.016397,0.000322
yellow,5.466492,-22.373370,0.0,0.050450,0.078509,-0.022498
yellow,23.370952,0.548254,0.0,0.044353,0.026147,-0.008740
blue,28.255315,6.320614,0.0,0.090069,0.038888,0.006933
yellow,25.944827,1.549427,0.0,0.078886,0.039950,-0.014433
yellow,1.037298,-21.994236,0.0,0.051879,0.077076,-0.023326
yellow,3.263229,-22.967373,0.0,0.051073,0.077886,-0.022875
yellow,20.304180,-14.213895,0.0,0.053003,0.075954,-0.023901
yellow,27.995497,1.042026,0.0,0.085401,0.043550,-0.016274
blue,30.468893,5.126315,0.0,0.090981,0.037978,0.000801
yellow,22.397532,-13.053004,0.0,0.057160,0.071797,-0.025482
unknown,21.310937,-18.815647,0.0,0.051187,0.077773,-0.022941
yellow,29.582548,-1.103175,0.0,0.083974,0.044985,-0.017970
yellow,25.063352,-11.660344,0.0,0.063663,0.065293,-0.026499
unknown,24.088508,-16.973339,0.0,0.055787,0.073173,-0.025049
unknown,26.635492,-10.217854,0.0,0.068606,0.060348,-0.026186
unknown,28.034847,-8.727327,0.0,0.072267,0.056691,-0.025344
unknown,27.297907,-15.503092,0.0,0.061876,0.067084,-0.026386
yellow,28.895211,-6.753011,0.0,0.076458,0.052498,-0.023651
yellow,29.735304,-4.139740,0.0,0.080527,0.048422,-0.021093
unknown,30.174846,-13.468552,0.0,0.067925,0.061034,-0.026289
unknown,32.122431,-10.223068,0.0,0.074276,0.054683,-0.024637
unknown,32.955887,-8.020881,0.0,0.078295,0.050665,-0.022631
unknown,34.023999,-4.997071,0.0,0.082342,0.046618,-0.019595
unknown,34.534614,-1.419131,0.0,0.085350,0.043610,-0.016355
unknown,34.036729,1.491303,0.0,0.088439,0.040515,-0.011340
unknown,32.595040,3.403172,0.0,0.090369,0.038589,-0.005712
blue,-2.158574,1.343815,0.0,0.059176,0.069785,0.025979
blue,-3.717569,-0.998145,0.0,0.058337,0.070623,0.025792
blue,-4.750267,-4.219470,0.0,0.055383,0.073577,0.024905
yellow,-0.140082,-4.614212,0.0,0.045534,0.083424,0.018547
blue,-4.620123,-7.543627,0.0,0.051109,0.077851,0.022896
yellow,-0.023050,-7.146744,0.0,0.043740,0.085220,0.016518
blue,-4.859064,-10.521383,0.0,0.048921,0.080039,0.021469
blue,-5.543917,-12.836011,0.0,0.014176,0.016352,0.000457
blue,-5.915422,-15.480777,0.0,0.015247,0.018430,-0.001501
blue,-5.642566,-17.824811,0.0,0.018511,0.027813,-0.003817
blue,-5.154864,-21.339749,0.0,0.054905,0.071127,-0.024654
blue,-3.194263,-23.558950,0.0,0.044844,0.084110,-0.017815
blue,-1.323708,-25.322410,0.0,0.046991,0.081968,-0.019928
unknown,0.775346,-26.885144,0.0,0.049155,0.079805,-0.021637
unknown,3.813784,-27.498089,0.0,0.052115,0.076844,-0.023454
unknown,7.374326,-26.447591,0.0,0.050277,0.078684,-0.022390
unknown,2.649264,-8.121360,0.0,0.040055,0.088904,0.010316
unknown,14.448791,-1.791892,0.0,0.043992,0.084964,-0.016829
unknown,-2.681588,-11.462674,0.0,0.045826,0.083134,0.018843
