tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,10.30,1.51,0,0.01,0.01,0.0
blue,13.76,1.92,0,0.01,0.01,0.0
blue,16.48,2.67,0,0.01,0.01,0.0
blue,18.67,3.80,0,0.01,0.01,0.0
blue,20.14,5.11,0,0.01,0.01,0.0
blue,21.12,6.66,0,0.01,0.01,0.0
blue,21.73,8.72,0,0.01,0.01,0.0
blue,21.87,11.46,0,0.01,0.01,0.0
blue,21.46,15.27,0,0.01,0.01,0.0
blue,20.74,19.76,0,0.01,0.01,0.0
blue,19.96,23.03,0,0.01,0.01,0.0
blue,19.00,25.20,0,0.01,0.01,0.0
blue,17.73,26.83,0,0.01,0.01,0.0
blue,16.00,28.12,0,0.01,0.01,0.0
blue,13.67,29.11,0,0.01,0.01,0.0
blue,10.64,29.73,0,0.01,0.01,0.0
blue,7.02,29.93,0,0.01,0.01,0.0
blue,2.61,29.79,0,0.01,0.01,0.0
blue,-0.91,29.73,0,0.01,0.01,0.0
blue,-3.13,29.96,0,0.01,0.01,0.0
blue,-4.65,30.40,0,0.01,0.01,0.0
blue,-5.92,31.07,0,0.01,0.01,0.0
blue,-7.03,32.01,0,0.01,0.01,0.0
blue,-8.02,33.30,0,0.01,0.01,0.0
blue,-9.00,35.25,0,0.01,0.01,0.0
blue,-10.11,38.53,0,0.01,0.01,0.0
blue,-11.40,42.96,0,0.01,0.01,0.0
blue,-12.69,46.60,0,0.01,0.01,0.0
blue,-14.08,49.38,0,0.01,0.01,0.0
blue,-15.41,51.13,0,0.01,0.01,0.0
blue,-16.49,51.93,0,0.01,0.01,0.0
blue,-17.18,52.13,0,0.01,0.01,0.0
blue,-17.74,52.08,0,0.01,0.01,0.0
blue,-18.60,51.60,0,0.01,0.01,0.0
blue,-19.68,50.36,0,0.01,0.01,0.0
blue,-20.86,48.00,0,0.01,0.01,0.0
blue,-21.88,44.64,0,0.01,0.01,0.0
blue,-22.58,40.73,0,0.01,0.01,0.0
blue,-23.04,36.41,0,0.01,0.01,0.0
blue,-23.39,31.87,0,0.01,0.01,0.0
blue,-23.79,28.51,0,0.01,0.01,0.0
blue,-24.30,26.47,0,0.01,0.01,0.0
blue,-24.90,25.13,0,0.01,0.01,0.0
blue,-25.67,24.10,0,0.01,0.01,0.0
blue,-26.54,23.38,0,0.01,0.01,0.0
blue,-27.55,22.88,0,0.01,0.01,0.0
blue,-28.97,22.54,0,0.01,0.01,0.0
blue,-30.85,22.48,0,0.01,0.01,0.0
blue,-34.13,22.88,0,0.01,0.01,0.0
blue,-38.62,23.75,0,0.01,0.01,0.0
blue,-43.10,24.58,0,0.01,0.01,0.0
blue,-47.22,25.16,0,0.01,0.01,0.0
blue,-51.24,25.44,0,0.01,0.01,0.0
blue,-54.92,25.34,0,0.01,0.01,0.0
blue,-58.26,24.82,0,0.01,0.01,0.0
blue,-60.71,23.97,0,0.01,0.01,0.0
blue,-62.42,22.91,0,0.01,0.01,0.0
blue,-63.45,21.74,0,0.01,0.01,0.0
blue,-63.96,20.51,0,0.01,0.01,0.0
blue,-64.05,18.98,0,0.01,0.01,0.0
blue,-63.55,16.79,0,0.01,0.01,0.0
blue,-62.14,13.69,0,0.01,0.01,0.0
blue,-60.11,10.27,0,0.01,0.01,0.0
blue,-58.09,7.54,0,0.01,0.01,0.0
blue,-56.15,5.70,0,0.01,0.01,0.0
blue,-54.14,4.50,0,0.01,0.01,0.0
blue,-51.66,3.68,0,0.01,0.01,0.0
blue,-48.68,3.34,0,0.01,0.01,0.0
blue,-45.47,3.50,0,0.01,0.01,0.0
blue,-41.68,4.16,0,0.01,0.01,0.0
blue,-37.53,5.29,0,0.01,0.01,0.0
blue,-33.12,6.65,0,0.01,0.01,0.0
blue,-29.83,7.51,0,0.01,0.01,0.0
blue,-27.31,7.85,0,0.01,0.01,0.0
blue,-25.19,7.81,0,0.01,0.01,0.0
blue,-23.08,7.39,0,0.01,0.01,0.0
blue,-20.76,6.51,0,0.01,0.01,0.0
blue,-17.19,4.66,0,0.01,0.01,0.0
blue,-13.76,3.02,0,0.01,0.01,0.0
blue,-10.72,2.06,0,0.01,0.01,0.0
blue,-7.41,1.57,0,0.01,0.01,0.0
blue,-3.36,1.48,0,0.01,0.01,0.0
blue,1.31,1.49,0,0.01,0.01,0.0
yellow,10.02,-1.51,0,0.01,0.01,0.0
yellow,13.26,-1.20,0,0.01,0.01,0.0
yellow,15.97,-0.64,0,0.01,0.01,0.0
yellow,18.36,0.21,0,0.01,0.01,0.0
yellow,20.25,1.25,0,0.01,0.01,0.0
yellow,21.67,2.38,0,0.01,0.01,0.0
yellow,22.92,3.80,0,0.01,0.01,0.0
yellow,23.85,5.40,0,0.01,0.01,0.0
yellow,24.49,7.24,0,0.01,0.01,0.0
yellow,24.83,9.36,0,0.01,0.01,0.0
yellow,24.84,12.07,0,0.01,0.01,0.0
yellow,24.43,15.71,0,0.01,0.01,0.0
yellow,23.73,20.08,0,0.01,0.01,0.0
yellow,23.02,23.27,0,0.01,0.01,0.0
yellow,22.24,25.47,0,0.01,0.01,0.0
yellow,21.23,27.29,0,0.01,0.01,0.0
yellow,20.03,28.77,0,0.01,0.01,0.0
yellow,18.50,30.08,0,0.01,0.01,0.0
yellow,16.66,31.16,0,0.01,0.01,0.0
yellow,14.55,31.98,0,0.01,0.01,0.0
yellow,11.88,32.58,0,0.01,0.01,0.0
yellow,8.66,32.89,0,0.01,0.01,0.0
yellow,4.87,32.89,0,0.01,0.01,0.0
yellow,0.44,32.72,0,0.01,0.01,0.0
yellow,-2.35,32.87,0,0.01,0.01,0.0
yellow,-3.84,33.32,0,0.01,0.01,0.0
yellow,-4.79,34.02,0,0.01,0.01,0.0
yellow,-5.80,35.47,0,0.01,0.01,0.0
yellow,-6.93,38.39,0,0.01,0.01,0.0
yellow,-8.19,42.68,0,0.01,0.01,0.0
yellow,-9.40,46.40,0,0.01,0.01,0.0
yellow,-10.58,49.23,0,0.01,0.01,0.0
yellow,-11.93,51.58,0,0.01,0.01,0.0
