tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,-1.5,0,0,0.01,0.01,0
blue,-2.504809,-3.75,0,0.01,0.01,0
blue,-5.25,-6.495191,0,0.01,0.01,0
blue,-9,-7.5,0,0.01,0.01,0
blue,-12.75,-6.495191,0,0.01,0.01,0
blue,-15.495191,-3.75,0,0.01,0.01,0
blue,-16.5,0,0,0.01,0.01,0
blue,-15.495191,3.75,0,0.01,0.01,0
blue,-12.75,6.495191,0,0.01,0.01,0
blue,-9,7.5,0,0.01,0.01,0
blue,-5.25,6.495191,0,0.01,0.01,0
blue,-2.504809,3.75,0,0.01,0.01,0
blue,3.75,9.093267,0,0.01,0.01,0
blue,6.2824,10.142221,0,0.01,0.01,0
blue,9,10.5,0,0.01,0.01,0
blue,11.7176,10.142221,0,0.01,0.01,0
blue,14.25,9.093267,0,0.01,0.01,0
blue,16.424621,7.424621,0,0.01,0.01,0
blue,18.093267,5.25,0,0.01,0.01,0
blue,19.142221,2.7176,0,0.01,0.01,0
blue,19.5,0,0,0.01,0.01,0
blue,19.142221,-2.7176,0,0.01,0.01,0
blue,18.093267,-5.25,0,0.01,0.01,0
blue,16.424621,-7.424621,0,0.01,0.01,0
blue,14.25,-9.093267,0,0.01,0.01,0
blue,11.7176,-10.142221,0,0.01,0.01,0
blue,9,-10.5,0,0.01,0.01,0
blue,6.2824,-10.142221,0,0.01,0.01,0
blue,3.75,-9.093267,0,0.01,0.01,0
blue,1.575379,-7.424621,0,0.01,0.01,0
blue,-1.5,0,0,0.01,0.01,0
yellow,16.5,0,0,0.01,0.01,0
yellow,15.495191,-3.75,0,0.01,0.01,0
yellow,12.75,-6.495191,0,0.01,0.01,0
yellow,9,-7.5,0,0.01,0.01,0
yellow,5.25,-6.495191,0,0.01,0.01,0
yellow,2.504809,-3.75,0,0.01,0.01,0
yellow,1.5,0,0,0.01,0.01,0
yellow,2.504809,3.75,0,0.01,0.01,0
yellow,5.25,6.495191,0,0.01,0.01,0
yellow,9,7.5,0,0.01,0.01,0
yellow,12.75,6.495191,0,0.01,0.01,0
yellow,15.495191,3.75,0,0.01,0.01,0
yellow,-3.75,9.093267,0,0.01,0.01,0
yellow,-6.2824,10.142221,0,0.01,0.01,0
yellow,-9,10.5,0,0.01,0.01,0
yellow,-11.7176,10.142221,0,0.01,0.01,0
yellow,-14.25,9.093267,0,0.01,0.01,0
yellow,-16.424621,7.424621,0,0.01,0.01,0
yellow,-18.093267,5.25,0,0.01,0.01,0
yellow,-19.142221,2.7176,0,0.01,0.01,0
yellow,-19.5,0,0,0.01,0.01,0
yellow,-19.142221,-2.7176,0,0.01,0.01,0
yellow,-18.093267,-5.25,0,0.01,0.01,0
yellow,-16.424621,-7.424621,0,0.01,0.01,0
yellow,-14.25,-9.093267,0,0.01,0.01,0
yellow,-11.7176,-10.142221,0,0.01,0.01,0
yellow,-9,-10.5,0,0.01,0.01,0
yellow,-6.2824,-10.142221,0,0.01,0.01,0
yellow,-3.75,-9.093267,0,0.01,0.01,0
yellow,-1.575379,-7.424621,0,0.01,0.01,0
yellow,16.5,0,0,0.01,0.01,0
big_orange,-1.65,1.5,0,0.01,0.01,0
big_orange,-1.65,-1.5,0,0.01,0.01,0
big_orange,1.65,1.5,0,0.01,0.01,0
big_orange,1.65,-1.5,0,0.01,0.01,0
orange,-1.5,-9,0,0.01,0.01,0
orange,-1.5,-11,0,0.01,0.01,0
orange,1.5,-9,0,0.01,0.01,0
orange,1.5,-11,0,0.01,0.01,0
orange,-1.575379,7.424621,0,0.01,0.01,0
orange,1.575379,7.424621,0,0.01,0.01,0
orange,-1.5,9,0,0.01,0.01,0
orange,-1.5,11,0,0.01,0.01,0
orange,-1.5,13,0,0.01,0.01,0
orange,-1.5,15,0,0.01,0.01,0
orange,-1.5,17,0,0.01,0.01,0
orange,-1.5,19,0,0.01,0.01,0
orange,-1.5,21,0,0.01,0.01,0
orange,1.5,9,0,0.01,0.01,0
orange,1.5,11,0,0.01,0.01,0
orange,1.5,13,0,0.01,0.01,0
orange,1.5,15,0,0.01,0.01,0
orange,1.5,17,0,0.01,0.01,0
orange,1.5,19,0,0.01,0.01,0
orange,1.5,21,0,0.01,0.01,0
