tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,11.02,2.10,0,0.01,0.01,0.0
blue,16.03,2.10,0,0.01,0.01,0.0
blue,21.05,2.10,0,0.01,0.01,0.0
blue,26.06,2.10,0,0.01,0.01,0.0
blue,31.08,2.10,0,0.01,0.01,0.0
blue,36.09,2.10,0,0.01,0.01,0.0
blue,41.11,2.10,0,0.01,0.01,0.0
blue,46.12,2.10,0,0.01,0.01,0.0
blue,51.14,2.10,0,0.01,0.01,0.0
blue,56.15,2.10,0,0.01,0.01,0.0
blue,61.17,2.06,0,0.01,0.01,0.0
blue,65.40,1.82,0,0.01,0.01,0.0
blue,66.90,1.83,0,0.01,0.01,0.0
blue,68.36,2.18,0,0.01,0.01,0.0
blue,69.70,2.86,0,0.01,0.01,0.0
blue,70.85,3.83,0,0.01,0.01,0.0
blue,71.77,5.01,0,0.01,0.01,0.0
blue,72.44,6.36,0,0.01,0.01,0.0
blue,72.82,7.81,0,0.01,0.01,0.0
blue,72.91,9.31,0,0.01,0.01,0.0
blue,72.70,10.80,0,0.01,0.01,0.0
blue,72.20,12.21,0,0.01,0.01,0.0
blue,71.42,13.50,0,0.01,0.01,0.0
blue,70.40,14.60,0,0.01,0.01,0.0
blue,69.19,15.48,0,0.01,0.01,0.0
blue,67.82,16.10,0,0.01,0.01,0.0
blue,66.36,16.44,0,0.01,0.01,0.0
blue,62.86,16.50,0,0.01,0.01,0.0
blue,60.13,16.47,0,0.01,0.01,0.0
blue,58.61,16.18,0,0.01,0.01,0.0
blue,57.04,15.53,0,0.01,0.01,0.0
blue,54.84,14.71,0,0.01,0.01,0.0
blue,52.51,14.39,0,0.01,0.01,0.0
blue,50.18,14.58,0,0.01,0.01,0.0
blue,47.93,15.27,0,0.01,0.01,0.0
blue,46.41,15.98,0,0.01,0.01,0.0
blue,44.92,16.39,0,0.01,0.01,0.0
blue,43.38,16.50,0,0.01,0.01,0.0
blue,41.85,16.30,0,0.01,0.01,0.0
blue,40.39,15.80,0,0.01,0.01,0.0
blue,38.30,14.91,0,0.01,0.01,0.0
blue,36.01,14.44,0,0.01,0.01,0.0
