tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
blue,8.885195,3.017400,0.0,0.015008,0.019661,0.000915
blue,6.092911,2.852941,0.0,0.015152,0.021155,-0.000222
yellow,9.025064,-1.791227,0.0,0.080649,0.047826,0.020489
yellow,6.084469,-1.831964,0.0,0.053107,0.050015,0.014472
yellow,0.808977,-2.699450,0.0,0.018942,0.014859,-0.000889
big_orange,3.035555,-1.899068,0.0,0.044194,0.078947,0.016109
big_orange,3.398370,-1.898504,0.0,0.057153,0.071720,0.025449
big_orange,3.000503,2.687371,0.0,0.045167,0.078397,0.017178
big_orange,3.374766,2.705715,0.0,0.033539,0.049730,0.005510
blue,12.769033,3.008237,0.0,0.079745,0.036693,0.010728
blue,0.252313,2.205179,0.0,0.040341,0.087936,0.010875
yellow,12.925619,-1.890960,0.0,0.044776,0.035310,0.004679
blue,16.617805,3.474654,0.0,0.066472,0.037265,0.003769
yellow,16.460683,-1.579602,0.0,0.045742,0.035097,-0.004987
yellow,20.051426,-0.366761,0.0,0.067624,0.036741,0.000230
blue,20.255316,4.385087,0.0,0.015078,0.019768,-0.000992
yellow,23.229838,0.949774,0.0,0.090945,0.037978,0.000798
blue,22.821669,5.412983,0.0,0.015421,0.020473,-0.001387
yellow,25.988176,1.271205,0.0,0.014723,0.019255,-0.000221
blue,25.747522,6.515995,0.0,0.015864,0.024143,-0.000130
yellow,27.970401,0.641958,0.0,0.015231,0.018211,0.001497
blue,28.374964,5.865847,0.0,0.016570,0.022521,0.002469
yellow,29.545273,-1.600188,0.0,0.017247,0.016546,0.002197
blue,30.704420,4.597865,0.0,0.017550,0.021348,0.003299
yellow,28.503310,-7.218792,0.0,0.019096,0.015019,-0.001118
yellow,29.460331,-4.600609,0.0,0.018950,0.014660,-0.000273
yellow,24.393760,-11.891071,0.0,0.016727,0.017137,-0.002204
yellow,26.114403,-10.565664,0.0,0.017375,0.016739,-0.002302
yellow,27.605276,-9.154478,0.0,0.018547,0.015114,-0.001349
blue,32.678588,2.799996,0.0,0.019703,0.018901,0.003695
blue,34.345740,-2.188202,0.0,0.022448,0.015649,0.001062
blue,33.906106,0.806970,0.0,0.022317,0.017018,0.002916
blue,33.744048,-5.671969,0.0,0.020993,0.015292,-0.000947
blue,32.518844,-8.669835,0.0,0.019724,0.015620,-0.001771
blue,31.518293,-10.918301,0.0,0.019180,0.016486,-0.002468
blue,29.393328,-14.038778,0.0,0.018538,0.018855,-0.003342
blue,26.323185,-15.916767,0.0,0.016884,0.019285,-0.002713
yellow,21.649853,-13.117551,0.0,0.019496,0.016473,-0.002483
blue,23.071511,-17.128255,0.0,0.015872,0.018750,-0.002025
yellow,19.396820,-14.048000,0.0,0.016331,0.018551,-0.002312
blue,19.981277,-18.765522,0.0,0.015850,0.019509,-0.002007
yellow,16.661755,-15.098225,0.0,0.016700,0.019009,-0.002478
blue,16.606322,-20.149108,0.0,0.015771,0.018414,-0.001926
yellow,13.666400,-16.392627,0.0,0.016597,0.020023,-0.002594
blue,12.733485,-21.720052,0.0,0.015017,0.019258,-0.001071
blue,8.571967,-23.364107,0.0,0.014956,0.020070,-0.000535
yellow,6.240129,-19.583904,0.0,0.016082,0.018852,-0.002180
yellow,9.679856,-17.951142,0.0,0.017327,0.019161,-0.002927
blue,5.076208,-25.109115,0.0,0.015838,0.020944,-0.001850
yellow,3.703785,-20.900672,0.0,0.015757,0.017670,-0.001868
yellow,1.440138,-21.270003,0.0,0.014514,0.018078,-0.000362
blue,1.242699,-25.760472,0.0,0.015744,0.022695,0.001174
yellow,-0.702220,-19.974026,0.0,0.014820,0.018136,0.001038
blue,-1.516723,-24.859636,0.0,0.016564,0.021781,0.002536
blue,-3.537408,-22.858274,0.0,0.017233,0.018972,0.002849
yellow,-2.033025,-13.904472,0.0,0.019784,0.014957,0.000735
yellow,-2.251242,-17.055820,0.0,0.017639,0.015658,0.001814
blue,-5.087342,-20.997009,0.0,0.019771,0.016555,0.002553
yellow,-1.376240,-10.832187,0.0,0.019881,0.014991,-0.000752
blue,-6.671578,-18.557132,0.0,0.022074,0.016336,0.002270
blue,-6.717205,-14.927559,0.0,0.020998,0.015152,-0.000484
blue,-6.701962,-12.471739,0.0,0.021389,0.015249,-0.000515
blue,-5.865132,-9.957120,0.0,0.019645,0.016207,-0.002300
yellow,-0.546315,-8.363975,0.0,0.020866,0.015146,0.000592
blue,-4.983353,-7.484207,0.0,0.018855,0.016118,-0.002206
blue,-4.064360,-4.460470,0.0,0.018141,0.017207,-0.002670
yellow,0.305450,-5.420543,0.0,0.021447,0.016258,0.002218
blue,-3.435252,-1.209048,0.0,0.020287,0.016447,-0.002488
yellow,2.376816,-1.167690,0.0,0.015346,0.017506,-0.001594
blue,-1.589104,1.769181,0.0,0.018613,0.019539,-0.003547
big_orange,4.742745,-0.936145,0.0,0.016067,0.017638,-0.002043
blue,0.469191,3.540845,0.0,0.017384,0.024021,-0.003135
blue,3.015974,3.706591,0.0,0.015937,0.023392,-0.001264
big_orange,5.054256,-0.992926,0.0,0.014857,0.018824,-0.000916
big_orange,5.820059,3.586063,0.0,0.015282,0.021455,-0.000319
yellow,7.715291,-1.600730,0.0,0.015136,0.020763,-0.000145
yellow,10.511266,-2.186809,0.0,0.015651,0.022655,-0.000946
yellow,14.325816,-3.369866,0.0,0.033313,0.032802,-0.011534
blue,15.508926,1.436363,0.0,0.039737,0.020441,0.002448
blue,11.753932,2.496312,0.0,0.017653,0.017984,0.002801
yellow,17.915526,-3.940692,0.0,0.077035,0.051909,-0.023339
blue,18.966585,0.910500,0.0,0.090974,0.037983,0.000951
