tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,11.00,2.10,0,0.01,0.01,0.0
blue,16.00,2.10,0,0.01,0.01,0.0
blue,21.00,2.10,0,0.01,0.01,0.0
blue,26.00,2.10,0,0.01,0.01,0.0
blue,31.00,2.10,0,0.01,0.01,0.0
blue,36.00,2.10,0,0.01,0.01,0.0
blue,41.00,2.10,0,0.01,0.01,0.0
blue,45.99,1.96,0,0.01,0.01,0.0
blue,49.23,1.67,0,0.01,0.01,0.0
blue,51.45,1.06,0,0.01,0.01,0.0
blue,53.51,0.03,0,0.01,0.01,0.0
blue,55.32,-1.39,0,0.01,0.01,0.0
blue,56.80,-3.15,0,0.01,0.01,0.0
blue,57.87,-5.19,0,0.01,0.01,0.0
blue,58.46,-7.42,0,0.01,0.01,0.0
blue,58.56,-9.72,0,0.01,0.01,0.0
blue,58.15,-11.98,0,0.01,0.01,0.0
blue,57.26,-14.11,0,0.01,0.01,0.0
blue,55.92,-15.98,0,0.01,0.01,0.0
blue,54.21,-17.53,0,0.01,0.01,0.0
blue,52.21,-18.66,0,0.01,0.01,0.0
blue,50.00,-19.32,0,0.01,0.01,0.0
blue,46.79,-19.50,0,0.01,0.01,0.0
blue,43.68,-19.42,0,0.01,0.01,0.0
blue,41.41,-18.88,0,0.01,0.01,0.0
blue,39.78,-18.22,0,0.01,0.01,0.0
blue,38.28,-17.85,0,0.01,0.01,0.0
blue,36.75,-17.79,0,0.01,0.01,0.0
blue,35.23,-18.02,0,0.01,0.01,0.0
blue,33.59,-18.63,0,0.01,0.01,0.0
blue,31.35,-19.31,0,0.01,0.01,0.0
blue,29.02,-19.49,0,0.01,0.01,0.0
blue,26.70,-19.17,0,0.01,0.01,0.0
blue,24.73,-18.47,0,0.01,0.01,0.0
blue,23.27,-17.97,0,0.01,0.01,0.0
blue,21.75,-17.78,0,0.01,0.01,0.0
blue,20.21,-17.89,0,0.01,0.01,0.0
blue,18.73,-18.29,0,0.01,0.01,0.0
blue,16.66,-19.08,0,0.01,0.01,0.0
blue,14.36,-19.48,0,0.01,0.01,0.0
blue,10.84,-19.50,0,0.01,0.01,0.0
blue,9.31,-19.69,0,0.01,0.01,0.0
blue,7.85,-20.18,0,0.01,0.01,0.0
blue,6.51,-20.94,0,0.01,0.01,0.0
blue,5.35,-21.95,0,0.01,0.01,0.0
blue,4.41,-23.16,0,0.01,0.01,0.0
blue,3.73,-24.54,0,0.01,0.01,0.0
blue,3.33,-26.03,0,0.01,0.01,0.0
blue,3.23,-27.56,0,0.01,0.01,0.0
blue,3.43,-29.09,0,0.01,0.01,0.0
blue,3.93,-30.54,0,0.01,0.01,0.0
blue,4.70,-31.87,0,0.01,0.01,0.0
blue,5.72,-33.03,0,0.01,0.01,0.0
blue,6.95,-33.95,0,0.01,0.01,0.0
blue,8.34,-34.62,0,0.01,0.01,0.0
blue,9.83,-35.01,0,0.01,0.01,0.0
blue,11.71,-35.12,0,0.01,0.01,0.0
blue,14.05,-35.52,0,0.01,0.01,0.0
blue,16.25,-36.41,0,0.01,0.01,0.0
blue,18.21,-37.74,0,0.01,0.01,0.0
blue,20.15,-39.86,0,0.01,0.01,0.0
blue,21.61,-41.67,0,0.01,0.01,0.0
blue,22.82,-42.69,0,0.01,0.01,0.0
blue,24.21,-43.45,0,0.01,0.01,0.0
blue,25.72,-43.91,0,0.01,0.01,0.0
blue,27.59,-44.04,0,0.01,0.01,0.0
blue,32.59,-44.00,0,0.01,0.01,0.0
blue,35.56,-44.16,0,0.01,0.01,0.0
blue,37.81,-44.76,0,0.01,0.01,0.0
blue,39.88,-45.81,0,0.01,0.01,0.0
blue,41.69,-47.27,0,0.01,0.01,0.0
blue,43.15,-49.08,0,0.01,0.01,0.0
blue,44.18,-51.16,0,0.01,0.01,0.0
blue,44.74,-53.42,0,0.01,0.01,0.0
blue,44.79,-55.75,0,0.01,0.01,0.0
blue,44.34,-58.03,0,0.01,0.01,0.0
blue,43.41,-60.16,0,0.01,0.01,0.0
blue,42.04,-62.04,0,0.01,0.01,0.0
