tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
blue,3.0,1.5,0.0,0.042413,0.042413,0.000000
yellow,3.0,-1.5,0.0,0.042413,0.042413,0.000000
blue,6.0,1.5,0.0,0.042413,0.042413,0.000000
yellow,6.0,-1.5,0.0,0.042413,0.042413,0.000000
blue,9.0,1.5,0.0,0.042413,0.042413,0.000000
yellow,9.0,-1.5,0.0,0.042413,0.042413,0.000000
blue,12.0,1.5,0.0,0.042413,0.042413,0.000000
yellow,12.0,-1.5,0.0,0.042413,0.042413,0.000000
blue,15.0,2.46,0.0,0.042413,0.042413,0.000000
yellow,15.0,-0.54,0.0,0.042413,0.042413,0.000000
blue,18.0,3.42,0.0,0.042413,0.042413,0.000000
yellow,18.0,0.42,0.0,0.042413,0.042413,0.000000
blue,21.0,4.38,0.0,0.042413,0.042413,0.000000
yellow,21.0,1.38,0.0,0.042413,0.042413,0.000000
blue,24.0,5.34,0.0,0.042413,0.042413,0.000000
yellow,24.0,2.34,0.0,0.042413,0.042413,0.000000
blue,24.5,5.5,0.0,0.042413,0.042413,0.000000
yellow,24.5,2.5,0.0,0.042413,0.042413,0.000000
blue,27.0,5.5,0.0,0.042413,0.042413,0.000000
yellow,27.0,2.5,0.0,0.042413,0.042413,0.000000
blue,30.0,5.5,0.0,0.042413,0.042413,0.000000
yellow,30.0,2.5,0.0,0.042413,0.042413,0.000000
blue,33.0,5.5,0.0,0.042413,0.042413,0.000000
yellow,33.0,2.5,0.0,0.042413,0.042413,0.000000
blue,35.5,5.5,0.0,0.042413,0.042413,0.000000
yellow,35.5,2.5,0.0,0.042413,0.042413,0.000000
blue,36.0,5.34,0.0,0.042413,0.042413,0.000000
yellow,36.0,2.34,0.0,0.042413,0.042413,0.000000
blue,39.0,4.38,0.0,0.042413,0.042413,0.000000
yellow,39.0,1.38,0.0,0.042413,0.042413,0.000000
blue,42.0,3.42,0.0,0.042413,0.042413,0.000000
yellow,42.0,0.42,0.0,0.042413,0.042413,0.000000
blue,45.0,2.46,0.0,0.042413,0.042413,0.000000
yellow,45.0,-0.54,0.0,0.042413,0.042413,0.000000
blue,48.0,1.5,0.0,0.042413,0.042413,0.000000
yellow,48.0,-1.5,0.0,0.042413,0.042413,0.000000
blue,51.0,1.5,0.0,0.042413,0.042413,0.000000
yellow,51.0,-1.5,0.0,0.042413,0.042413,0.000000
blue,54.0,1.5,0.0,0.042413,0.042413,0.000000
yellow,54.0,-1.5,0.0,0.042413,0.042413,0.000000
blue,57.0,1.5,0.0,0.042413,0.042413,0.000000
yellow,57.0,-1.5,0.0,0.042413,0.042413,0.000000
big_orange,0.0,1.5,0.0,0.042413,0.042413,0.000000
big_orange,0.0,-1.5,0.0,0.042413,0.042413,0.000000
big_orange,60.0,1.5,0.0,0.042413,0.042413,0.000000
big_orange,60.0,-1.5,0.0,0.042413,0.042413,0.000000
