tag,x,y,direction,x_variance,y_variance,xy_covariance
blue,82.00025,-0.01351,0,0.000196,0.000196,0.0
blue,81.98064,4.43128,0,0.000196,0.000196,0.0
blue,81.81954,8.76029,0,0.000196,0.000196,0.0
blue,81.35126,12.93457,0,0.000196,0.000196,0.0
blue,80.41732,16.89663,0,0.000196,0.000196,0.0
blue,78.89856,20.56983,0,0.000196,0.000196,0.0
blue,76.75078,23.87936,0,0.000196,0.000196,0.0
blue,74.01745,26.77980,0,0.000196,0.000196,0.0
blue,70.80210,29.26676,0,0.000196,0.000196,0.0
blue,67.22381,31.36861,0,0.000196,0.000196,0.0
blue,63.38620,33.13107,0,0.000196,0.000196,0.0
blue,59.36732,34.60420,0,0.000196,0.000196,0.0
blue,55.22191,35.83482,0,0.000196,0.000196,0.0
blue,50.98743,36.86356,0,0.000196,0.000196,0.0
blue,46.68943,37.72441,0,0.000196,0.000196,0.0
blue,42.34562,38.44522,0,0.000196,0.000196,0.0
blue,37.96845,39.04848,0,0.000196,0.000196,0.0
blue,33.56690,39.55201,0,0.000196,0.000196,0.0
blue,29.14755,39.96956,0,0.000196,0.000196,0.0
blue,24.71527,40.31142,0,0.000196,0.000196,0.0
blue,20.27365,40.58507,0,0.000196,0.000196,0.0
blue,15.82520,40.79595,0,0.000196,0.000196,0.0
blue,11.37151,40.94831,0,0.000196,0.000196,0.0
blue,6.91346,41.04604,0,0.000196,0.000196,0.0
blue,2.45140,41.09349,0,0.000196,0.000196,0.0
blue,-2.01274,41.09562,0,0.000196,0.000196,0.0
blue,-6.47515,41.05285,0,0.000196,0.000196,0.0
blue,-10.93361,40.96026,0,0.000196,0.000196,0.0
blue,-15.38775,40.81345,0,0.000196,0.000196,0.0
blue,-19.83678,40.60850,0,0.000196,0.000196,0.0
blue,-24.27916,40.34123,0,0.000196,0.000196,0.0
blue,-28.71250,40.00637,0,0.000196,0.000196,0.0
blue,-33.13331,39.59666,0,0.000196,0.000196,0.0
blue,-37.53687,39.10213,0,0.000196,0.000196,0.0
blue,-41.91679,38.50938,0,0.000196,0.000196,0.0
blue,-46.26437,37.80104,0,0.000196,0.000196,0.0
blue,-50.56754,36.95510,0,0.000196,0.000196,0.0
blue,-54.80925,35.94426,0,0.000196,0.000196,0.0
blue,-58.96484,34.73516,0,0.000196,0.000196,0.0
blue,-62.99825,33.28785,0,0.000196,0.000196,0.0
blue,-66.85671,31.55603,0,0.000196,0.000196,0.0
blue,-70.46469,29.48971,0,0.000196,0.000196,0.0
blue,-73.72089,27.04226,0,0.000196,0.000196,0.0
blue,-76.50676,24.18289,0,0.000196,0.000196,0.0
blue,-78.71531,20.91220,0,0.000196,0.000196,0.0
blue,-80.29538,17.27172,0,0.000196,0.000196,0.0
blue,-81.28247,13.33446,0,0.000196,0.000196,0.0
blue,-81.78985,9.17810,0,0.000196,0.000196,0.0
blue,-81.97370,4.86237,0,0.000196,0.000196,0.0
blue,-82.00024,0.43756,0,0.000196,0.000196,0.0
blue,-81.98560,-3.99829,0,0.000196,0.000196,0.0
blue,-81.84407,-8.33887,0,0.000196,0.000196,0.0
blue,-81.40951,-12.52701,0,0.000196,0.000196,0.0
blue,-80.51937,-16.50525,0,0.000196,0.000196,0.0
blue,-79.04684,-20.19500,0,0.000196,0.000196,0.0
blue,-76.93836,-23.51671,0,0.000196,0.000196,0.0
blue,-74.23096,-26.41901,0,0.000196,0.000196,0.0
blue,-71.02730,-28.89294,0,0.000196,0.000196,0.0
blue,-67.44948,-30.96449,0,0.000196,0.000196,0.0
blue,-63.60525,-32.67864,0,0.000196,0.000196,0.0
blue,-59.57604,-34.08556,0,0.000196,0.000196,0.0
blue,-55.41888,-35.23246,0,0.000196,0.000196,0.0
blue,-51.17254,-36.16045,0,0.000196,0.000196,0.0
blue,-46.86327,-36.90428,0,0.000196,0.000196,0.0
blue,-42.50890,-37.49307,0,0.000196,0.000196,0.0
blue,-38.12168,-37.95139,0,0.000196,0.000196,0.0
blue,-33.71006,-38.30025,0,0.000196,0.000196,0.0
blue,-29.27988,-38.55793,0,0.000196,0.000196,0.0
blue,-24.83519,-38.74061,0,0.000196,0.000196,0.0
blue,-20.37877,-38.86288,0,0.000196,0.000196,0.0
blue,-15.91252,-38.93808,0,0.000196,0.000196,0.0
blue,-11.43774,-38.97852,0,0.000196,0.000196,0.0
blue,-6.95544,-38.99563,0,0.000196,0.000196,0.0
blue,-2.46665,-38.99984,0,0.000196,0.000196,0.0
blue,2.02528,-38.99992,0,0.000196,0.000196,0.0
blue,6.51460,-38.99646,0,0.000196,0.000196,0.0
blue,10.99759,-38.98106,0,0.000196,0.000196,0.0
blue,15.47315,-38.94340,0,0.000196,0.000196,0.0
