tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
blue,8.919381,3.049077,0.0,0.020000,0.020000,0.000000
blue,6.094588,2.763001,0.0,0.020000,0.020000,0.000000
yellow,6.080486,-1.867495,0.0,0.020000,0.020000,0.000000
big_orange,3.007880,-1.910232,0.0,0.020000,0.020000,0.000000
big_orange,3.376871,-1.925715,0.0,0.020000,0.020000,0.000000
big_orange,2.999886,2.684138,0.0,0.020000,0.020000,0.000000
big_orange,3.384358,2.693362,0.0,0.020000,0.020000,0.000000
blue,12.861265,3.000456,0.0,0.020000,0.020000,0.000000
yellow,0.771714,-2.696483,0.0,0.020000,0.020000,0.000000
blue,0.240723,2.175334,0.0,0.020000,0.020000,0.000000
yellow,12.924602,-1.936423,0.0,0.020000,0.020000,0.000000
yellow,8.976798,-1.806123,0.0,0.020000,0.020000,0.000000
yellow,16.481745,-1.616321,0.0,0.020000,0.020000,0.000000
blue,16.463265,3.418964,0.0,0.020000,0.020000,0.000000
blue,20.085016,4.435622,0.0,0.020000,0.020000,0.000000
yellow,20.109592,-0.389668,0.0,0.020000,0.020000,0.000000
blue,22.599780,5.531385,0.0,0.020000,0.020000,0.000000
yellow,23.406691,0.499921,0.0,0.020000,0.020000,0.000000
yellow,25.947361,1.505801,0.0,0.020000,0.020000,0.000000
blue,25.449895,6.738452,0.0,0.020000,0.020000,0.000000
yellow,27.947366,0.990655,0.0,0.020000,0.020000,0.000000
blue,28.101456,6.217829,0.0,0.020000,0.020000,0.000000
yellow,29.592001,-1.161660,0.0,0.020000,0.020000,0.000000
yellow,28.912452,-6.801831,0.0,0.020000,0.020000,0.000000
yellow,29.701125,-4.186098,0.0,0.020000,0.020000,0.000000
blue,30.491995,5.103922,0.0,0.020000,0.020000,0.000000
blue,32.469935,3.374406,0.0,0.020000,0.020000,0.000000
blue,33.874708,1.452531,0.0,0.020000,0.020000,0.000000
blue,34.478432,-1.477821,0.0,0.020000,0.020000,0.000000
blue,34.012257,-4.979130,0.0,0.020000,0.020000,0.000000
blue,33.023301,-7.996230,0.0,0.020000,0.020000,0.000000
blue,32.133277,-10.264517,0.0,0.020000,0.020000,0.000000
yellow,28.126067,-8.777013,0.0,0.020000,0.020000,0.000000
blue,30.226304,-13.485923,0.0,0.020000,0.020000,0.000000
yellow,26.695908,-10.288208,0.0,0.020000,0.020000,0.000000
yellow,25.074507,-11.714503,0.0,0.020000,0.020000,0.000000
blue,27.311535,-15.531777,0.0,0.020000,0.020000,0.000000
yellow,22.440711,-13.133220,0.0,0.020000,0.020000,0.000000
yellow,20.304529,-14.239013,0.0,0.020000,0.020000,0.000000
blue,24.150911,-17.014341,0.0,0.020000,0.020000,0.000000
blue,21.289756,-18.834478,0.0,0.020000,0.020000,0.000000
yellow,17.681783,-15.434473,0.0,0.020000,0.020000,0.000000
blue,18.102805,-20.430779,0.0,0.020000,0.020000,0.000000
yellow,14.806625,-16.955605,0.0,0.020000,0.020000,0.000000
blue,14.448596,-22.228684,0.0,0.020000,0.020000,0.000000
yellow,11.063462,-18.845211,0.0,0.020000,0.020000,0.000000
blue,10.569601,-24.299721,0.0,0.020000,0.020000,0.000000
yellow,7.848541,-20.831793,0.0,0.020000,0.020000,0.000000
yellow,5.473224,-22.401055,0.0,0.020000,0.020000,0.000000
blue,7.298987,-26.436090,0.0,0.020000,0.020000,0.000000
yellow,3.283193,-23.006806,0.0,0.020000,0.020000,0.000000
yellow,0.984487,-21.984342,0.0,0.020000,0.020000,0.000000
blue,3.702896,-27.455718,0.0,0.020000,0.020000,0.000000
blue,0.821231,-26.958100,0.0,0.020000,0.020000,0.000000
yellow,-0.925240,-19.269149,0.0,0.020000,0.020000,0.000000
blue,-1.438826,-25.250900,0.0,0.020000,0.020000,0.000000
blue,-5.133793,-21.437717,0.0,0.020000,0.020000,0.000000
blue,-3.212739,-23.620002,0.0,0.020000,0.020000,0.000000
yellow,-1.168156,-16.066551,0.0,0.020000,0.020000,0.000000
blue,-5.601641,-17.914532,0.0,0.020000,0.020000,0.000000
blue,-5.950728,-15.479118,0.0,0.020000,0.020000,0.000000
yellow,-1.005817,-12.972360,0.0,0.020000,0.020000,0.000000
blue,-5.123556,-10.342485,0.0,0.020000,0.020000,0.000000
blue,-5.545499,-12.900974,0.0,0.020000,0.020000,0.000000
yellow,-0.604623,-10.324554,0.0,0.020000,0.020000,0.000000
blue,-4.807292,-7.310729,0.0,0.020000,0.020000,0.000000
yellow,-0.355004,-7.298711,0.0,0.020000,0.020000,0.000000
yellow,-0.360865,-4.544460,0.0,0.020000,0.020000,0.000000
blue,-4.872562,-4.028497,0.0,0.020000,0.020000,0.000000
yellow,-3.291396,-11.627364,0.0,0.020000,0.020000,0.000000
blue,-2.195370,1.397422,0.0,0.020000,0.020000,0.000000
blue,-3.726774,-0.773053,0.0,0.020000,0.020000,0.000000
