index,name,near,mid,far,margin_px,margin_ratio,blue,yellow,orange,big_orange,unknown,cluster_assignments,sparse_assignments,assigned_sparse_mentions,assigned_cluster_mentions,insufficient_mentions,no_lidar_mentions,roi_reject_mentions
1,c01_baseline_params,4,3,2,4.0,0.15,1,0,1,1,0,3,0,0,8,32,0,8
2,c02_first_candidate,3,2,2,8.0,0.25,1,1,1,1,0,3,1,8,8,24,0,8
3,c03_points_only,3,2,2,4.0,0.15,1,1,1,1,0,3,1,8,8,24,0,8
4,c04_margin_only,4,3,2,8.0,0.25,1,0,1,1,0,3,0,0,8,32,0,8
5,c05_mid_relaxed,4,2,2,6.0,0.2,1,1,1,1,0,3,1,8,8,24,0,8
6,c06_near_relaxed,3,3,2,6.0,0.2,1,0,1,1,0,3,0,0,8,32,0,8
7,c07_aggressive_points,2,2,1,6.0,0.2,2,2,1,1,0,3,3,24,8,8,0,8
8,c08_aggressive_margin,3,2,2,12.0,0.3,1,1,1,1,0,3,1,8,8,24,0,8
9,c09_balanced,3,2,2,6.0,0.2,1,1,1,1,0,3,1,8,8,24,0,8
10,c10_far_conservative,3,2,2,8.0,0.2,1,1,1,1,0,3,1,8,8,24,0,8
11,c11_margin_low,3,2,2,5.0,0.18,1,1,1,1,0,3,1,8,8,24,0,8
12,c12_near2_mid2,2,2,2,8.0,0.25,1,1,1,1,0,3,1,8,8,24,0,8
